lon,lat
-64.837,41.659
-64.835,41.677
-64.834,41.696
-64.832,41.714
-64.83,41.733
-64.829,41.751
-64.827,41.77
-64.826,41.789
-64.824,41.807
-64.822,41.826
-64.821,41.844
-64.819,41.863
-64.818,41.881
-64.816,41.9
-64.814,41.918
-64.813,41.937
-64.811,41.955
-64.809,41.974
-64.808,41.993
-64.806,42.011
-64.805,42.03
-64.803,42.048
-64.801,42.067
-64.8,42.085
-64.825,42.087
-64.85,42.088
-64.875,42.089
-64.9,42.09
-64.925,42.091
-64.95,42.093
-64.975,42.094
-65,42.095
-65.025,42.096
-65.05,42.097
-65.075,42.098
-65.1,42.099
-65.125,42.101
-65.15,42.102
-65.175,42.103
-65.2,42.104
-65.225,42.105
-65.25,42.106
-65.275,42.107
-65.3,42.108
-65.325,42.109
-65.35,42.111
-65.375,42.112
-65.4,42.113
-65.425,42.114
-65.45,42.115
-65.475,42.116
-65.5,42.117
-65.525,42.118
-65.55,42.119
-65.575,42.12
-65.6,42.121
-65.625,42.122
-65.65,42.123
-65.675,42.124
-65.7,42.125
-65.725,42.126
-65.75,42.127
-65.775,42.128
-65.801,42.129
-65.826,42.13
-65.851,42.131
-65.876,42.132
-65.901,42.133
-65.926,42.134
-65.951,42.135
-65.976,42.136
-66.001,42.137
-66.026,42.138
-66.051,42.138
-66.076,42.139
-66.101,42.14
-66.126,42.141
-66.151,42.142
-66.176,42.143
-66.201,42.144
-66.226,42.145
-66.251,42.146
-66.276,42.146
-66.301,42.147
-66.326,42.148
-66.352,42.149
-66.377,42.15
-66.402,42.151
-66.427,42.152
-66.452,42.152
-66.477,42.153
-66.502,42.154
-66.527,42.155
-66.552,42.156
-66.577,42.156
-66.602,42.157
-66.627,42.158
-66.652,42.159
-66.677,42.16
-66.702,42.16
-66.727,42.161
-66.752,42.162
-66.778,42.163
-66.803,42.163
-66.828,42.164
-66.853,42.165
-66.878,42.166
-66.903,42.166
-66.928,42.167
-66.953,42.168
-66.978,42.168
-67.003,42.169
-67.028,42.17
-67.053,42.17
-67.078,42.171
-67.103,42.172
-67.129,42.173
-67.154,42.173
-67.179,42.174
-67.204,42.174
-67.229,42.175
-67.254,42.176
-67.279,42.176
-67.304,42.177
-67.329,42.178
-67.354,42.178
-67.379,42.179
-67.404,42.179
-67.429,42.18
-67.455,42.181
-67.48,42.181
-67.505,42.182
-67.53,42.182
-67.555,42.183
-67.58,42.184
-67.605,42.184
-67.63,42.185
-67.655,42.185
-67.68,42.186
-67.705,42.186
-67.73,42.187
-67.756,42.187
-67.781,42.188
-67.806,42.188
-67.831,42.189
-67.856,42.189
-67.881,42.19
-67.906,42.19
-67.931,42.191
-67.956,42.191
-67.981,42.192
-68.006,42.192
-68.031,42.193
-68.057,42.193
-68.082,42.194
-68.107,42.194
-68.132,42.195
-68.157,42.195
-68.182,42.195
-68.207,42.196
-68.232,42.196
-68.257,42.197
-68.282,42.197
-68.307,42.197
-68.333,42.198
-68.358,42.198
-68.383,42.199
-68.408,42.199
-68.433,42.199
-68.458,42.2
-68.483,42.2
-68.508,42.2
-68.533,42.201
-68.558,42.201
-68.584,42.201
-68.609,42.202
-68.634,42.202
-68.659,42.202
-68.684,42.203
-68.709,42.203
-68.734,42.203
-68.759,42.204
-68.784,42.204
-68.809,42.204
-68.835,42.204
-68.86,42.205
-68.885,42.205
-68.91,42.205
-68.935,42.205
-68.96,42.206
-68.985,42.206
-69.01,42.206
-69.035,42.206
-69.06,42.207
-69.086,42.207
-69.111,42.207
-69.136,42.207
-69.161,42.207
-69.186,42.208
-69.211,42.208
-69.236,42.208
-69.261,42.208
-69.286,42.208
-69.312,42.208
-69.337,42.209
-69.362,42.209
-69.387,42.209
-69.412,42.209
-69.437,42.209
-69.462,42.209
-69.487,42.209
-69.512,42.21
-69.537,42.21
-69.563,42.21
-69.588,42.21
-69.613,42.21
-69.638,42.21
-69.663,42.21
-69.688,42.21
-69.713,42.21
-69.738,42.21
-69.763,42.21
-69.789,42.21
-69.814,42.21
-69.839,42.211
-69.864,42.211
-69.889,42.211
-69.914,42.211
-69.914,42.192
-69.914,42.173
-69.939,42.173
-69.939,42.192
-69.939,42.211
-69.964,42.211
-69.964,42.192
-69.989,42.192
-69.989,42.211
-70.014,42.211
-70.04,42.211
-70.065,42.211
-70.09,42.211
-70.09,42.192
-70.115,42.192
-70.115,42.211
-70.14,42.211
-70.165,42.211
-70.19,42.21
-70.215,42.21
-70.24,42.21
-70.266,42.21
-70.291,42.21
-70.316,42.21
-70.341,42.21
-70.366,42.21
-70.391,42.21
-70.416,42.21
-70.441,42.21
-70.466,42.21
-70.491,42.21
-70.517,42.209
-70.542,42.209
-70.567,42.209
-70.592,42.209
-70.617,42.209
-70.642,42.209
-70.667,42.209
-70.692,42.208
-70.717,42.208
-70.743,42.208
-70.768,42.208
-70.793,42.208
-70.818,42.208
-70.843,42.207
-70.868,42.207
-70.893,42.207
-70.918,42.207
-70.943,42.207
-70.968,42.206
-70.994,42.206
-71.019,42.206
-71.044,42.206
-71.069,42.205
-71.094,42.205
-71.119,42.205
-71.144,42.205
-71.169,42.204
-71.194,42.204
-71.219,42.204
-71.245,42.203
-71.27,42.203
-71.295,42.203
-71.32,42.203
-71.345,42.202
-71.37,42.202
-71.395,42.202
-71.42,42.201
-71.445,42.201
-71.47,42.201
-71.496,42.2
-71.521,42.2
-71.546,42.2
-71.571,42.199
-71.596,42.199
-71.621,42.199
-71.646,42.198
-71.671,42.198
-71.696,42.197
-71.721,42.197
-71.747,42.197
-71.772,42.196
-71.797,42.196
-71.822,42.195
-71.847,42.195
-71.872,42.194
-71.897,42.194
-71.922,42.194
-71.947,42.193
-71.972,42.193
-71.997,42.192
-72.023,42.192
-72.048,42.191
-72.073,42.191
-72.098,42.19
-72.123,42.19
-72.148,42.189
-72.173,42.189
-72.198,42.188
-72.223,42.188
-72.248,42.187
-72.273,42.187
-72.298,42.186
-72.324,42.186
-72.349,42.185
-72.374,42.185
-72.399,42.184
-72.424,42.183
-72.449,42.183
-72.474,42.182
-72.499,42.182
-72.524,42.181
-72.549,42.181
-72.574,42.18
-72.599,42.179
-72.625,42.179
-72.65,42.178
-72.675,42.178
-72.7,42.177
-72.725,42.176
-72.75,42.176
-72.775,42.175
-72.8,42.174
-72.825,42.174
-72.85,42.173
-72.875,42.172
-72.9,42.172
-72.925,42.171
-72.951,42.17
-72.976,42.17
-73.001,42.169
-73.026,42.168
-73.051,42.168
-73.076,42.167
-73.101,42.166
-73.126,42.165
-73.151,42.165
-73.176,42.164
-73.201,42.163
-73.226,42.162
-73.251,42.162
-73.276,42.161
-73.301,42.16
-73.327,42.159
-73.352,42.159
-73.377,42.158
-73.402,42.157
-73.427,42.156
-73.452,42.156
-73.477,42.155
-73.502,42.154
-73.527,42.153
-73.552,42.152
-73.577,42.151
-73.602,42.151
-73.627,42.15
-73.652,42.149
-73.677,42.148
-73.702,42.147
-73.727,42.146
-73.753,42.145
-73.778,42.145
-73.803,42.144
-73.828,42.143
-73.853,42.142
-73.878,42.141
-73.903,42.14
-73.928,42.139
-73.953,42.138
-73.978,42.137
-74.003,42.136
-74.028,42.136
-74.053,42.135
-74.078,42.134
-74.103,42.133
-74.128,42.132
-74.153,42.131
-74.178,42.13
-74.203,42.129
-74.228,42.128
-74.253,42.127
-74.278,42.126
-74.303,42.125
-74.328,42.124
-74.354,42.123
-74.379,42.122
-74.404,42.121
-74.429,42.12
-74.454,42.119
-74.479,42.118
-74.504,42.117
-74.529,42.116
-74.554,42.115
-74.579,42.114
-74.604,42.113
-74.629,42.111
-74.654,42.11
-74.679,42.109
-74.704,42.108
-74.729,42.107
-74.754,42.106
-74.779,42.105
-74.804,42.104
-74.829,42.103
-74.854,42.102
-74.879,42.1
-74.904,42.099
-74.929,42.098
-74.954,42.097
-74.979,42.096
-75.004,42.095
-75.029,42.093
-75.054,42.092
-75.079,42.091
-75.104,42.09
-75.129,42.089
-75.154,42.088
-75.179,42.086
-75.204,42.085
-75.229,42.084
-75.254,42.083
-75.279,42.082
-75.304,42.08
-75.329,42.079
-75.354,42.078
-75.379,42.077
-75.404,42.075
-75.429,42.074
-75.454,42.073
-75.479,42.072
-75.504,42.07
-75.529,42.069
-75.554,42.068
-75.579,42.066
-75.604,42.065
-75.629,42.064
-75.654,42.062
-75.679,42.061
-75.704,42.06
-75.729,42.059
-75.754,42.057
-75.779,42.056
-75.804,42.055
-75.829,42.053
-75.854,42.052
-75.879,42.05
-75.904,42.049
-75.929,42.048
-75.954,42.046
-75.979,42.045
-76.004,42.044
-76.029,42.042
-76.053,42.041
-76.078,42.039
-76.103,42.038
-76.128,42.037
-76.153,42.035
-76.178,42.034
-76.203,42.032
-76.228,42.031
-76.253,42.029
-76.278,42.028
-76.303,42.026
-76.328,42.025
-76.353,42.024
-76.378,42.022
-76.403,42.021
-76.428,42.019
-76.426,42.001
-76.424,41.982
-76.422,41.963
-76.42,41.945
-76.418,41.926
-76.416,41.908
-76.414,41.889
-76.412,41.871
-76.41,41.852
-76.408,41.834
-76.406,41.815
-76.404,41.797
-76.402,41.778
-76.4,41.76
-76.398,41.741
-76.396,41.723
-76.394,41.704
-76.392,41.686
-76.39,41.667
-76.388,41.648
-76.386,41.63
-76.384,41.611
-76.382,41.593
-76.38,41.574
-76.378,41.556
-76.376,41.537
-76.374,41.519
-76.372,41.5
-76.37,41.482
-76.368,41.463
-76.366,41.445
-76.364,41.426
-76.362,41.408
-76.36,41.389
-76.358,41.371
-76.356,41.352
-76.354,41.334
-76.352,41.315
-76.35,41.297
-76.349,41.278
-76.347,41.26
-76.345,41.241
-76.343,41.223
-76.341,41.204
-76.339,41.185
-76.337,41.167
-76.335,41.148
-76.333,41.13
-76.331,41.111
-76.329,41.093
-76.327,41.074
-76.325,41.056
-76.323,41.037
-76.321,41.019
-76.319,41
-76.317,40.982
-76.315,40.963
-76.313,40.945
-76.312,40.926
-76.31,40.908
-76.308,40.889
-76.306,40.871
-76.304,40.852
-76.302,40.834
-76.3,40.815
-76.298,40.797
-76.296,40.778
-76.294,40.76
-76.292,40.741
-76.29,40.723
-76.288,40.704
-76.286,40.686
-76.285,40.667
-76.283,40.649
-76.281,40.63
-76.279,40.612
-76.277,40.593
-76.275,40.575
-76.273,40.556
-76.271,40.538
-76.269,40.519
-76.267,40.501
-76.265,40.482
-76.264,40.464
-76.262,40.445
-76.26,40.427
-76.258,40.408
-76.256,40.39
-76.254,40.371
-76.252,40.353
-76.25,40.334
-76.248,40.316
-76.246,40.297
-76.245,40.279
-76.243,40.26
-76.241,40.242
-76.239,40.223
-76.237,40.205
-76.235,40.186
-76.233,40.168
-76.231,40.149
-76.229,40.131
-76.228,40.112
-76.226,40.094
-76.224,40.075
-76.222,40.057
-76.22,40.038
-76.218,40.02
-76.216,40.001
-76.214,39.983
-76.212,39.965
-76.211,39.946
-76.209,39.928
-76.207,39.909
-76.205,39.891
-76.203,39.872
-76.201,39.854
-76.199,39.835
-76.198,39.817
-76.196,39.798
-76.194,39.78
-76.192,39.761
-76.19,39.743
-76.188,39.724
-76.186,39.706
-76.184,39.687
-76.183,39.669
-76.181,39.65
-76.179,39.632
-76.177,39.613
-76.175,39.595
-76.173,39.576
-76.172,39.558
-76.17,39.54
-76.168,39.521
-76.166,39.503
-76.164,39.484
-76.162,39.466
-76.16,39.447
-76.159,39.429
-76.157,39.41
-76.155,39.392
-76.153,39.373
-76.151,39.355
-76.149,39.336
-76.148,39.318
-76.146,39.299
-76.144,39.281
-76.142,39.263
-76.14,39.244
-76.138,39.226
-76.137,39.207
-76.135,39.189
-76.133,39.17
-76.131,39.152
-76.129,39.133
-76.127,39.115
-76.126,39.096
-76.124,39.078
-76.122,39.059
-76.12,39.041
-76.118,39.023
-76.116,39.004
-76.115,38.986
-76.113,38.967
-76.111,38.949
-76.109,38.93
-76.107,38.912
-76.106,38.893
-76.104,38.875
-76.102,38.857
-76.1,38.838
-76.098,38.82
-76.097,38.801
-76.095,38.783
-76.093,38.764
-76.091,38.746
-76.089,38.727
-76.088,38.709
-76.086,38.691
-76.084,38.672
-76.082,38.654
-76.08,38.635
-76.079,38.617
-76.077,38.598
-76.075,38.58
-76.073,38.561
-76.071,38.543
-76.07,38.525
-76.068,38.506
-76.066,38.488
-76.064,38.469
-76.062,38.451
-76.061,38.432
-76.059,38.414
-76.057,38.396
-76.055,38.377
-76.054,38.359
-76.052,38.34
-76.05,38.322
-76.048,38.303
-76.046,38.285
-76.045,38.267
-76.043,38.248
-76.041,38.23
-76.039,38.211
-76.038,38.193
-76.036,38.174
-76.034,38.156
-76.032,38.138
-76.03,38.119
-76.029,38.101
-76.027,38.082
-76.025,38.064
-76.023,38.045
-76.022,38.027
-76.02,38.009
-76.018,37.99
-76.016,37.972
-76.015,37.953
-76.013,37.935
-76.011,37.917
-76.009,37.898
-76.008,37.88
-76.006,37.861
-76.004,37.843
-76.002,37.824
-76.001,37.806
-75.999,37.788
-75.997,37.769
-75.995,37.751
-75.994,37.732
-75.992,37.714
-75.99,37.696
-75.988,37.677
-75.987,37.659
-75.985,37.64
-75.983,37.622
-75.981,37.604
-75.98,37.585
-75.978,37.567
-75.976,37.548
-75.974,37.53
-75.973,37.512
-75.971,37.493
-75.969,37.475
-75.968,37.456
-75.966,37.438
-75.964,37.42
-75.962,37.401
-75.961,37.383
-75.959,37.364
-75.957,37.346
-75.955,37.328
-75.954,37.309
-75.952,37.291
-75.95,37.273
