date,direction,control_power,wf_power,upwelling,seabreeze,power_diff
2022-06-21,230.3050349074829,25.40001766036304,11.678127921875,upwelling present,seabreeze present,13.721889738488041
2022-06-22,174.22085900880347,67.50989722280741,51.8733249375,upwelling present,seabreeze absent,15.636572285307409
2022-06-23,103.82588998847142,33.23552495393589,21.61520593359375,upwelling present,seabreeze absent,11.620319020342137
2022-06-24,77.15146044920039,4.5794423524301004,2.2141788444824217,upwelling present,seabreeze present,2.3652635079476787
2022-06-25,233.79690081876024,21.96418324332171,9.7823659375,upwelling present,seabreeze present,12.18181730582171
2022-06-26,217.02856784032548,41.2457564701048,19.953188078125,upwelling absent,seabreeze present,21.292568391979803
2022-06-27,205.10063966251704,70.16183403181812,64.756863625,upwelling absent,seabreeze absent,5.404970406818123
2022-06-28,5.608541108177447,24.277916633976286,15.487652354333878,upwelling present,seabreeze present,8.790264279642408
2022-06-29,227.8743481667938,12.847082086544589,5.674383833862304,upwelling present,seabreeze present,7.1726982526822844
2022-06-30,229.5658581751258,42.94549406289761,20.546940040664673,upwelling present,seabreeze present,22.398554022232936
2022-07-01,217.59167595625803,71.98786301478768,47.73031525,upwelling present,seabreeze present,24.25754776478768
2022-07-02,218.86722744413623,72.0,67.9803755,upwelling present,seabreeze present,4.019624500000006
2022-07-03,225.23068246740536,46.13440415773128,30.893337390625,upwelling present,seabreeze absent,15.241066767106282
2022-07-04,41.73899231981361,11.935870207263875,4.905650698791504,upwelling present,seabreeze present,7.030219508472371
2022-07-05,204.5139400731913,34.16319159570605,21.4311843828125,upwelling present,seabreeze present,12.732007212893553
2022-07-06,246.5753583029645,50.36947154022625,36.342945140625,upwelling present,seabreeze absent,14.026526399601252
2022-07-07,94.37413761122437,15.548116926300091,7.908847070999146,upwelling present,seabreeze absent,7.639269855300945
2022-07-08,63.480556787663886,10.118248925672994,5.08057480859375,upwelling present,seabreeze present,5.037674117079244
2022-07-09,150.42618748777156,15.596323280423197,7.413589433176041,upwelling present,seabreeze absent,8.182733847247157
2022-07-10,63.037974189825405,9.950044867140342,5.68062815234375,upwelling present,seabreeze present,4.269416714796592
2022-07-11,126.02353350796012,4.869389710432038,3.017114202682495,upwelling present,seabreeze present,1.8522755077495425
2022-07-12,206.20885151572995,53.10394719931583,40.1102063125,upwelling present,seabreeze present,12.993740886815836
2022-07-13,243.1763078323185,22.01150734794604,16.140887355407713,upwelling present,seabreeze present,5.870619992538327
2022-07-14,226.58889290461906,10.110886323430986,3.766553932128906,upwelling present,seabreeze present,6.34433239130208
2022-07-15,49.20576195066072,13.440601203999277,7.09416980078125,upwelling present,seabreeze absent,6.346431403218027
2022-07-16,174.77675444497248,4.304038558804937,2.384994995529175,upwelling present,seabreeze absent,1.9190435632757619
2022-07-17,212.61802782530313,13.604979956082769,7.502107906924247,upwelling present,seabreeze present,6.102872049158521
2022-07-18,206.17803370219485,53.804820083161445,31.94183925,upwelling present,seabreeze present,21.862980833161444
2022-07-19,245.47834795999043,40.41407079418737,28.676222890625,upwelling present,seabreeze absent,11.737847903562368
2022-07-20,247.43941821410615,38.760001202994154,18.96244290625,upwelling present,seabreeze present,19.797558296744153
2022-07-21,218.21446626515814,71.76909784945612,54.332648375,upwelling present,seabreeze present,17.43644947445612
2022-07-22,253.18488455146166,29.590736565777995,15.649214342132568,upwelling present,seabreeze present,13.941522223645427
2022-07-23,238.63099452459346,34.669470569953305,16.390660686279297,upwelling present,seabreeze present,18.278809883674008
2022-07-24,222.3458974299371,47.4653065495344,26.088563578125,upwelling present,seabreeze present,21.376742971409396
2022-07-25,213.90938437092075,72.0,72.4061705,upwelling present,seabreeze absent,-0.40617050000000177
2022-07-26,250.40126827597965,32.61915219970537,24.292175904296876,upwelling present,seabreeze absent,8.326976295408492
