time_stamp(utc),12m_air_temp(f),2m_air_temp(f)
2018-08-07 00:00:00+00:00,78.68090277777777,79.46631944444444
2018-08-08 00:00:00+00:00,78.90590277777778,79.95208333333333
2018-08-09 00:00:00+00:00,79.97881944444445,80.92604166666666
2018-08-10 00:00:00+00:00,79.06458333333333,79.52812499999999
2018-08-11 00:00:00+00:00,76.25243055555556,76.28125
2018-08-12 00:00:00+00:00,76.16736111111112,77.22187500000001
2018-08-13 00:00:00+00:00,77.72881944444445,78.14895833333334
2018-08-14 00:00:00+00:00,76.76284722222222,77.99826388888889
2018-08-15 00:00:00+00:00,78.23020833333334,79.37743055555556
2018-08-16 00:00:00+00:00,80.29366197183099,81.59683098591549
2018-08-17 00:00:00+00:00,79.83923611111112,80.33159722222223
2018-08-18 00:00:00+00:00,80.72430555555555,81.55520833333334
2018-08-19 00:00:00+00:00,73.72500000000001,73.60457746478873
2018-08-20 00:00:00+00:00,71.27937062937063,71.87937062937063
2018-08-21 00:00:00+00:00,74.16006944444445,74.71215277777777
2018-08-22 00:00:00+00:00,76.64340277777778,77.00381944444445
2018-08-23 00:00:00+00:00,72.19340277777778,72.99826388888889
2018-08-24 00:00:00+00:00,72.33020833333333,73.03958333333334
2018-08-25 00:00:00+00:00,73.71944444444445,73.73020833333334
2018-08-26 00:00:00+00:00,74.48402777777778,74.98611111111111
2018-08-27 00:00:00+00:00,77.98229166666667,79.078125
2018-08-28 00:00:00+00:00,81.83055555555556,82.75763888888889
2018-08-29 00:00:00+00:00,83.36527777777778,84.31527777777778
2018-08-30 00:00:00+00:00,82.27291666666666,83.17395833333333
2018-08-31 00:00:00+00:00,76.16458333333334,75.92291666666667
2018-09-01 00:00:00+00:00,73.11736111111111,73.86701388888889
2018-09-02 00:00:00+00:00,74.19131944444445,75.11527777777778
2018-09-03 00:00:00+00:00,77.68715277777778,78.45659722222223
2018-09-04 00:00:00+00:00,79.82048611111111,81.23645833333333
2018-09-05 00:00:00+00:00,78.8986013986014,79.66958041958041
2018-09-06 00:00:00+00:00,80.79260563380281,81.85492957746479
2018-09-07 00:00:00+00:00,77.96284722222222,78.68333333333334
2018-09-08 00:00:00+00:00,71.88749999999999,71.37083333333334
2018-09-09 00:00:00+00:00,65.83165467625899,65.16151079136691
2018-09-10 00:00:00+00:00,65.42709923664123,65.18702290076335
2018-09-11 00:00:00+00:00,70.17919708029197,70.87445255474452
2018-09-12 00:00:00+00:00,73.36111111111111,74.25729166666666
2018-09-13 00:00:00+00:00,71.53993055555556,71.89305555555556
2018-09-14 00:00:00+00:00,70.69930555555555,70.92395833333333
2018-09-15 00:00:00+00:00,70.84027777777777,71.35208333333334
2018-09-16 00:00:00+00:00,71.28437500000001,72.44305555555555
2018-09-17 00:00:00+00:00,73.93090277777777,73.88680555555555
2018-09-18 00:00:00+00:00,76.45069444444444,76.75625
2018-09-19 00:00:00+00:00,71.63784722222222,72.275
2018-09-20 00:00:00+00:00,68.83854166666667,69.69930555555555
2018-09-21 00:00:00+00:00,70.32291666666667,70.33368055555555
2018-09-22 00:00:00+00:00,72.73611111111111,73.08194444444445
